,x,me,scipy,delta
0,0.0,0.0,0.0,0.0
1,0.1,0.099999,0.0999990000046296,4.629602257111287e-12
2,0.2,0.199968,0.1999680023702829,2.3702828866323244e-09
3,0.3,0.299757091125,0.2997570911079686,1.7031376309262214e-11
4,0.4,0.39897721362963,0.3989772129129052,7.167247906281204e-10
5,0.5,0.49688402920367,0.4968840292147947,1.1124712262500225e-11
6,0.6,0.592270516462671,0.592270516709329,2.4665791631406364e-10
7,0.7,0.68337878711563,0.683378790502197,3.3865669157862044e-09
8,0.8,0.767847537762708,0.767847537641989,1.2071899035959177e-10
9,0.9,0.842717699995022,0.8427176985651442,1.4298777717414168e-09
10,1.0,0.904524237817159,0.9045242379002718,8.31128499356737e-11
11,1.1,0.949503869042766,0.949503869941299,8.985330257615942e-10
12,1.2,0.973944546187623,0.9739445540762238,7.888600772609777e-09
13,1.3,0.974689078542062,0.9746890777531594,7.889026099050511e-10
14,1.4,0.94977898371167,0.9497789769691372,6.742532865366968e-09
15,1.5,0.899184851963846,0.8991848528874781,9.236320597239001e-10
16,1.6,0.825516738130746,0.8255167458678744,7.737128382423464e-09
17,1.7,0.734551232876299,0.7345512314847156,1.3915834040645336e-09
18,1.8,0.635365430834975,0.6353654311222757,2.8730073875493645e-10
19,1.9,0.539855045818509,0.5398550484422762,2.623767203502325e-09
20,2.0,0.46146146311073,0.4614614624332158,6.775142114001653e-10
21,2.1,0.413066423822815,0.4130664177694495,6.053365475544581e-09
22,2.2,0.404240471678664,0.4042404735907744,1.912110414448165e-09
23,2.3,0.438329078874103,0.4383290782027944,6.71308619804023e-10
24,2.4,0.510157036847701,0.510157030482016,6.365684979137143e-09
25,2.5,0.605307836456406,0.6053078391148689,2.6584628942671884e-09
26,2.6,0.701840323568537,0.7018403223497757,1.2187613140923759e-09
27,2.7,0.774816529300997,0.7748165299126648,6.116678274992182e-10
28,2.8,0.803114817312322,0.8031148237721415,6.45981945712748e-09
29,2.9,0.776863824504483,0.776863820755766,3.748717003482227e-09
30,3.0,0.70286355537096,0.7028635577302673,2.359307305077607e-09
31,3.1,0.605132099485309,0.6051320978785657,1.6067432939692594e-09
32,3.2,0.518749430372019,0.5187494315534399,1.1814208500382506e-09
33,3.3,0.477591281147791,0.4775912802119124,9.358785968416328e-10
34,3.4,0.499749602125813,0.4997496029228512,7.970382132072018e-10
35,3.5,0.57700724596645,0.5770072452381626,7.282874303626841e-10
36,3.6,0.674853169207412,0.6748531699200094,7.12597425511774e-10
37,3.7,0.745943310381844,0.7459433096366196,7.452244377148531e-10
38,3.8,0.753149825056626,0.7531498258881035,8.314775534756791e-10
39,3.9,0.691347155999644,0.6913471550115818,9.88062187623484e-10
40,4.0,0.594460326249373,0.5944603274978212,1.2484482336816427e-09
41,4.1,0.519759400422655,0.5197593987480164,1.6746386499733035e-09
42,4.2,0.514375373167338,0.514375375548435,2.3810970972704126e-09
43,4.3,0.582918512880546,0.582918509297045,3.5835009404294738e-09
44,4.4,0.679531050981091,0.6795310566815268,5.70043579006807e-09
45,4.5,0.735502620986995,0.7355026218271753,8.401802586988083e-10
46,4.6,0.708536366256035,0.7085363647228721,1.5331629299453198e-09
47,4.7,0.618552265886877,0.6185522688318803,2.9450033522948615e-09
48,4.8,0.537604944255126,0.5376049383073983,5.947727643729195e-09
49,4.9,0.533891740765003,0.5338917395799814,1.1850216363740174e-09
50,5.0,0.611466763678008,0.6114667663964611,2.718453129268994e-09
51,5.1,0.700767407414036,0.7007674008811049,6.532931084990423e-09
52,5.2,0.717911458777095,0.7179114571652088,1.6118861800862305e-09
53,5.3,0.645575573323786,0.6455755776936258,4.3698398233260605e-09
54,5.4,0.556022116503546,0.5560221177374349,1.2338888799590109e-09
55,5.5,0.542575995234526,0.5425759914773146,3.7572114308659366e-09
56,5.6,0.620254005980486,0.6202540047678705,1.2126154524949584e-09
57,5.7,0.703079989703333,0.7030799938331503,4.129817376963274e-09
58,5.8,0.69584484159584,0.6958448431166532,1.520813142086297e-09
59,5.9,0.606675077635952,0.6066750718666258,5.769326127946783e-09
60,6.0,0.544204027806248,0.5442040253871852,2.419062838932007e-09
61,6.1,0.587196487995358,0.5871964869165467,1.078811262544832e-09
62,6.2,0.680288464153852,0.68028846900386,4.850007950807367e-09
63,6.3,0.699493965088336,0.6994939675444352,2.4560992128996872e-09
64,6.4,0.618308130835902,0.6183081321578169,1.3219149108678607e-09
65,6.5,0.550912814813423,0.5509128078332934,6.980129585443251e-09
66,6.6,0.59482789633856,0.5948278921062292,4.23233081914276e-09
67,6.7,0.684937377618134,0.6849373748382621,2.7798718882365847e-09
68,6.8,0.683994313563453,0.6839943121475203,1.41593270441831e-09
69,6.9,0.593485612832126,0.593485612952679,1.205530120174103e-10
70,7.0,0.558334331129806,0.5583343318609687,7.311626859518583e-10
71,7.1,0.636105782342035,0.6361057859007709,3.5587359725752776e-09
72,7.2,0.69608414040931,0.6960842032757014,6.286639142594197e-08
73,7.3,0.635292610725133,0.6352929074855664,2.9676043344917247e-07
74,7.4,0.560837951492376,0.5608364546580038,1.4968343722276956e-06
75,7.5,0.606474413898606,0.6064795347551335,5.120856527485174e-06
76,7.6,0.688010975644197,0.6880277180296615,1.674238546445217e-05
77,7.7,0.652636735093313,0.6524579504720279,0.00017878462128506634
78,7.8,0.568605986736184,0.5683803112677875,0.00022567546839646901
79,7.9,0.600539311197347,0.6002852157350351,0.0002540954623119207
80,8.0,0.69740392261346,0.6839570275081093,0.013446895105350687
81,8.1,0.709820403608061,0.6490368194953521,0.0607835841127089
82,8.2,0.347942850301586,0.5686271572888401,0.22068430698725405
83,8.3,1.115327634814067,0.612790927431165,0.502536707382902
84,8.4,-3.176246254893593,0.6856484614706595,3.8618947163642523
85,8.5,66.78809572542245,0.6274538533298845,66.16064187209257
86,8.6,280.6348080199229,0.5689836714235723,280.06582434849935
87,8.7,671.8020782045257,0.6428233763459322,671.1592548281798
88,8.8,-15157.529540932546,0.6774491525097361,15158.206990085057
89,8.9,-45441.55442710575,0.5920440510304324,45442.14647115678
90,9.0,-173178.37428078818,0.5914010847421121,173178.9656818729
91,9.1,-10741592.668432847,0.6761696504521821,10741593.344602497
92,9.2,-820703495.3249506,0.636861882873907,820703495.9618125
93,9.3,-61525926560.47335,0.5731177416431019,61525926561.04647
94,9.4,-4450016652927.415,0.6468659043658785,4450016652928.062
95,9.5,-307764614319918.0,0.6665996336095962,307764614319918.7
96,9.6,-2.0357717345224896e+16,0.5815238841721547,2.0357717345224896e+16
97,9.7,-1.2890492112239506e+18,0.6182880831194251,1.2890492112239506e+18
98,9.8,-7.820313187818892e+19,0.6764861168035379,7.820313187818892e+19
99,9.9,-4.5495493835558926e+21,0.5974978743741163,4.5495493835558926e+21
100,10.0,-2.5401920939024312e+23,0.6011251848134284,2.5401920939024312e+23
